plant_id,gourd_type,variety_name,planting_date,days_since_planting,season,region_climate,avg_temperature,avg_humidity,avg_rainfall_mm,sunlight_hours,soil_ph,soil_moisture,soil_type,fertilizer_type,fertilizer_frequency,watering_frequency,plant_health_score,vine_length_cm,leaf_count,predicted_days_to_flower,actual_days_to_flower,male_flower_count,female_flower_count,is_hand_pollinated,pollinated_count,successful_pollinations,pollination_success_rate,days_to_pollination_result,predicted_days_to_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg
PLT_01178,bottle_gourd,upo_smooth,2025-04-27,117,dry,tropical_highland,33.3,68.4,7.3,7.7,6.3,54.4,sandy,mixed,monthly,every_other_day,4,1051.7,100,40,39.0,88,30,1,26,13,0.563,5,60,13,3.08,40.04
PLT_01179,bitter_gourd,ampalaya_hybrid,2024-04-12,51,dry,subtropical,30.8,68.9,2.9,8.6,6.7,67.7,loamy,organic,weekly,daily,4,352.7,56,39,38.0,25,8,1,7,3,0.695,7,46,0,,
PLT_01180,squash,kalabasa,2025-09-22,107,wet,subtropical,27.9,85.2,26.6,6.9,6.7,63.8,clay,chemical,weekly,twice_daily,4,648.9,100,41,39.0,93,30,0,30,11,0.442,10,53,11,4.01,44.11
PLT_01181,sponge_gourd,patola,2025-12-06,90,dry,subtropical,27.9,64.1,1.5,8.2,5.9,66.0,silty,mixed,biweekly,every_other_day,4,564.0,91,38,40.0,64,27,0,27,16,0.599,7,45,16,0.56,8.96
PLT_01182,cucumber,pipino,2025-02-14,89,dry,subtropical,29.1,69.8,8.3,9.3,6.0,68.7,clay,mixed,biweekly,daily,4,369.0,59,33,30.0,39,24,1,20,11,0.642,3,41,11,0.24,2.64
PLT_01183,bitter_gourd,ampalaya_oblong,2024-05-31,72,dry,tropical_lowland,24.3,65.7,9.2,8.8,7.2,54.1,sandy,chemical,weekly,twice_daily,4,401.5,68,43,45.0,51,15,1,14,8,0.481,9,51,0,,
PLT_01184,squash,kalabasa_hybrid,2025-11-15,34,wet,tropical_lowland,30.6,83.3,14.3,5.2,6.9,78.6,clay,chemical,none,every_other_day,4,223.1,33,43,,0,0,0,0,0,0.458,9,51,0,,
PLT_01185,bitter_gourd,ampalaya_bilog,2024-12-19,93,dry,tropical_lowland,30.7,55.2,7.8,9.5,7.2,55.4,loamy,mixed,none,daily,3,349.1,65,46,49.0,51,20,1,19,10,0.539,10,52,0,,
PLT_01186,cucumber,pipino_native,2024-11-30,62,wet,tropical_lowland,28.3,85.0,17.7,6.7,6.0,58.8,clay,chemical,weekly,daily,4,264.9,47,30,28.0,34,17,0,15,6,0.45,3,41,0,,
PLT_01187,squash,kalabasa_native,2025-06-09,34,wet,subtropical,28.2,75.0,18.2,5.5,6.8,53.6,clay,chemical,biweekly,twice_daily,3,173.5,35,42,,0,0,1,0,0,0.502,8,57,0,,
PLT_01188,squash,kalabasa_native,2024-12-17,94,dry,subtropical,30.9,59.6,7.2,8.6,6.4,74.3,clay,organic,weekly,twice_daily,3,550.3,90,44,44.0,58,17,0,15,9,0.49,7,58,0,,
PLT_01189,squash,kalabasa_hybrid,2025-06-25,105,wet,tropical_highland,29.6,85.1,18.7,5.6,5.9,52.7,sandy,none,weekly,twice_daily,4,525.6,91,45,42.0,102,30,0,29,7,0.3,7,55,7,3.28,22.96
PLT_01190,squash,kalabasa_hybrid,2025-02-21,107,dry,tropical_highland,32.0,65.0,6.1,9.7,6.4,61.6,loamy,none,none,twice_daily,5,1206.6,100,45,44.0,100,30,1,30,14,0.515,10,52,14,2.44,34.16
PLT_01191,bitter_gourd,ampalaya_bilog,2025-10-29,97,wet,tropical_lowland,30.4,82.2,13.4,6.7,6.1,79.7,clay,none,monthly,daily,4,618.6,100,47,47.0,77,22,0,21,5,0.305,9,53,0,,
PLT_01192,bitter_gourd,ampalaya_oblong,2024-02-18,114,dry,tropical_lowland,31.0,57.3,7.8,9.2,6.7,54.7,silty,organic,monthly,every_other_day,4,551.7,85,38,41.0,85,30,1,30,18,0.634,7,51,18,0.35,6.3
PLT_01193,cucumber,pipino_native,2024-08-28,117,wet,tropical_lowland,27.4,88.4,13.8,6.4,7.2,71.8,clay,chemical,biweekly,daily,3,348.7,62,34,32.0,56,30,0,27,11,0.374,3,41,11,0.21,2.31
PLT_01194,bottle_gourd,upo_round,2024-09-21,84,wet,tropical_highland,30.3,85.1,14.4,5.5,6.3,73.2,clay,mixed,none,daily,4,681.9,100,45,46.0,40,17,1,15,7,0.59,7,57,0,,
PLT_01195,squash,kalabasa_hybrid,2025-12-09,30,dry,tropical_highland,33.7,70.7,4.1,9.9,6.3,69.2,loamy,organic,biweekly,daily,5,199.8,37,42,,0,0,1,0,0,0.715,4,51,0,,
PLT_01196,bitter_gourd,ampalaya_oblong,2024-07-02,45,wet,tropical_lowland,28.9,72.2,19.4,4.7,6.3,54.9,clay,organic,none,every_other_day,4,233.6,43,40,39.0,20,6,1,4,1,0.722,8,48,0,,
PLT_01197,cucumber,pipino,2024-06-29,50,wet,tropical_highland,27.1,75.9,29.5,5.1,5.8,54.4,clay,organic,weekly,daily,4,299.4,48,31,34.0,11,7,0,7,6,0.572,6,30,0,,
PLT_01198,sponge_gourd,patola,2025-10-08,95,wet,subtropical,29.6,78.8,28.7,5.6,6.8,76.9,clay,none,none,daily,3,315.6,50,43,45.0,43,20,0,17,7,0.3,10,48,7,0.51,3.57
PLT_01199,bitter_gourd,ampalaya_hybrid,2025-12-15,71,dry,tropical_lowland,34.8,58.1,5.4,7.3,6.2,65.8,sandy,none,none,twice_daily,4,297.8,44,46,43.0,37,13,0,9,1,0.333,10,47,0,,
PLT_01200,sponge_gourd,patola,2025-08-07,30,wet,tropical_lowland,28.8,82.2,18.4,4.1,7.2,61.0,clay,mixed,none,every_other_day,4,177.0,35,37,,0,0,1,0,0,0.555,10,42,0,,
PLT_01201,bitter_gourd,ampalaya_hybrid,2024-05-17,100,dry,subtropical,24.2,62.2,8.9,9.1,6.0,67.7,loamy,chemical,none,twice_daily,4,444.6,72,44,43.0,95,30,1,28,13,0.548,3,52,13,0.48,6.24
PLT_01202,sponge_gourd,patola_ridged,2024-09-08,37,wet,subtropical,31.6,70.2,28.4,4.2,6.2,65.4,silty,mixed,weekly,daily,4,219.0,34,43,,0,0,1,0,0,0.617,5,45,0,,
PLT_01203,cucumber,pipino,2024-09-21,97,wet,tropical_lowland,26.5,82.2,23.6,5.5,6.8,55.2,clay,mixed,none,daily,4,449.7,77,32,29.0,67,30,0,28,15,0.523,9,39,15,0.27,4.05
PLT_01204,sponge_gourd,patola,2024-10-18,44,wet,tropical_lowland,29.4,81.9,18.2,6.5,6.1,66.6,loamy,chemical,weekly,twice_daily,4,331.6,57,40,41.0,3,1,1,1,1,0.503,4,50,0,,
PLT_01205,squash,kalabasa,2024-08-05,100,wet,subtropical,28.8,88.1,28.6,6.7,6.0,75.5,sandy,organic,monthly,twice_daily,4,759.3,100,42,44.0,120,30,1,26,20,0.691,7,61,0,,
PLT_01206,bitter_gourd,ampalaya_oblong,2024-10-31,114,wet,tropical_lowland,30.8,79.9,27.1,5.6,6.4,53.2,loamy,mixed,none,daily,4,771.1,100,43,44.0,86,30,0,26,11,0.479,4,46,11,0.39,4.29
PLT_01207,bitter_gourd,ampalaya_oblong,2024-01-05,99,dry,tropical_lowland,34.6,67.8,6.2,8.7,5.9,71.9,loamy,none,monthly,twice_daily,4,662.9,100,47,46.0,82,21,0,21,11,0.406,6,49,11,0.19,2.09
PLT_01208,bottle_gourd,upo_round,2024-06-21,120,wet,tropical_lowland,28.8,85.8,10.6,4.2,5.9,71.9,loamy,organic,none,daily,4,650.7,100,40,42.0,93,30,0,30,13,0.464,9,52,13,2.63,34.19
PLT_01209,sponge_gourd,patola_ridged,2025-06-19,85,wet,tropical_highland,29.4,77.2,22.8,4.8,6.9,56.9,sandy,none,biweekly,daily,4,580.7,96,41,39.0,57,20,1,19,8,0.472,7,43,8,0.63,5.04
PLT_01210,squash,kalabasa_native,2025-02-18,45,dry,tropical_lowland,25.4,65.1,0.2,8.2,5.9,64.3,clay,mixed,biweekly,every_other_day,4,235.2,29,39,39.0,18,6,0,6,4,0.488,3,59,0,,
PLT_01211,bottle_gourd,upo_round,2025-08-27,104,wet,tropical_lowland,30.3,77.4,18.5,5.7,7.1,53.3,clay,chemical,biweekly,every_other_day,3,686.1,100,47,45.0,46,17,1,14,6,0.497,3,60,0,,
PLT_01212,bitter_gourd,ampalaya_hybrid,2024-02-17,44,dry,tropical_highland,31.0,72.5,7.5,8.5,6.4,69.2,silty,chemical,biweekly,twice_daily,5,222.7,27,36,33.0,3,1,1,0,0,0.684,3,45,0,,
PLT_01213,bottle_gourd,upo_long,2024-12-15,71,dry,subtropical,27.1,65.5,3.4,7.3,7.1,75.6,sandy,chemical,weekly,twice_daily,3,340.3,59,47,45.0,36,11,0,11,4,0.38,10,58,0,,
PLT_01214,bottle_gourd,upo_smooth,2025-10-12,114,wet,tropical_highland,26.4,88.4,11.6,6.7,6.5,63.4,silty,mixed,biweekly,every_other_day,4,800.8,100,44,41.0,84,30,1,28,21,0.701,3,57,21,1.05,22.05
PLT_01215,cucumber,pipino,2025-03-19,67,dry,tropical_highland,31.8,69.2,1.2,8.7,6.6,70.5,loamy,organic,none,every_other_day,4,257.4,51,31,29.0,35,16,1,14,8,0.636,7,39,0,,
PLT_01216,bitter_gourd,ampalaya_oblong,2025-03-12,112,dry,tropical_highland,34.7,58.1,8.5,9.1,6.9,58.5,loamy,none,monthly,twice_daily,3,426.7,70,48,46.0,54,21,1,19,7,0.32,9,51,7,0.43,3.01
PLT_01217,bottle_gourd,upo_long,2025-05-06,92,dry,tropical_lowland,31.1,72.5,7.8,7.3,6.3,73.2,sandy,organic,biweekly,every_other_day,4,730.8,100,45,44.0,67,24,0,24,16,0.569,5,53,0,,
PLT_01218,squash,kalabasa_native,2025-01-14,81,dry,tropical_highland,27.8,61.5,2.4,8.8,7.1,59.2,loamy,mixed,monthly,every_other_day,3,529.1,86,45,48.0,35,9,0,5,1,0.472,7,56,0,,
PLT_01219,squash,kalabasa_hybrid,2024-09-07,32,wet,subtropical,29.2,82.3,19.6,5.8,6.1,64.4,sandy,none,weekly,daily,3,201.5,24,50,,0,0,0,0,0,0.324,9,55,0,,
PLT_01220,bitter_gourd,ampalaya_oblong,2024-12-15,69,dry,subtropical,24.3,68.4,8.5,8.1,5.9,79.6,sandy,chemical,weekly,every_other_day,2,176.3,28,44,44.0,32,9,0,7,5,0.412,6,47,0,,
PLT_01221,squash,kalabasa_hybrid,2025-11-16,109,wet,tropical_highland,28.5,72.4,16.6,6.2,6.7,53.6,clay,organic,none,twice_daily,4,988.3,100,39,39.0,83,30,1,28,15,0.599,8,53,15,4.36,65.4
PLT_01222,squash,kalabasa_native,2024-09-03,32,wet,subtropical,30.3,86.6,15.7,4.6,7.2,71.5,silty,chemical,none,every_other_day,4,172.5,25,46,,0,0,1,0,0,0.426,4,61,0,,
PLT_01223,bottle_gourd,upo_long,2024-05-20,98,dry,tropical_lowland,24.2,59.7,2.8,7.3,6.7,57.3,loamy,chemical,none,twice_daily,4,673.1,100,46,48.0,71,21,0,21,10,0.424,5,55,0,,
PLT_01224,bottle_gourd,upo_long,2024-08-07,105,wet,tropical_lowland,29.7,76.4,25.4,6.9,7.1,58.0,loamy,organic,monthly,daily,4,821.9,100,41,38.0,73,30,0,28,18,0.576,10,54,18,1.41,25.38
PLT_01225,bottle_gourd,upo_round,2024-12-14,98,dry,subtropical,24.7,60.4,6.1,7.4,6.5,68.8,loamy,organic,monthly,every_other_day,4,810.4,100,46,49.0,61,23,0,21,12,0.493,5,56,0,,
PLT_01226,bitter_gourd,ampalaya_oblong,2025-12-13,41,dry,subtropical,26.4,58.5,3.6,9.0,6.1,55.5,sandy,none,monthly,daily,3,162.5,26,46,,0,0,1,0,0,0.458,6,49,0,,
PLT_01227,bitter_gourd,ampalaya_oblong,2024-10-11,119,wet,subtropical,30.3,87.2,10.2,6.9,6.3,79.7,clay,mixed,none,every_other_day,4,602.4,100,37,36.0,109,30,0,26,15,0.487,3,45,15,0.5,7.5
PLT_01228,bottle_gourd,upo_smooth,2024-07-16,56,wet,tropical_lowland,29.3,84.0,18.1,5.6,7.1,55.0,sandy,organic,biweekly,daily,4,457.5,74,43,44.0,13,6,0,5,1,0.512,10,54,0,,
PLT_01229,bitter_gourd,ampalaya_bilog,2024-05-17,85,dry,tropical_lowland,29.7,63.1,0.4,9.9,7.1,58.4,sandy,mixed,monthly,every_other_day,4,400.6,66,44,42.0,53,17,1,14,8,0.526,9,50,0,,
PLT_01230,bitter_gourd,ampalaya_hybrid,2025-01-18,50,dry,tropical_lowland,29.3,68.1,1.9,8.6,6.2,65.8,sandy,none,weekly,daily,3,189.8,35,47,49.0,4,1,0,1,0,0.378,9,51,0,,
PLT_01231,sponge_gourd,patola_ridged,2024-06-19,98,wet,tropical_highland,26.9,83.6,12.1,6.6,6.5,61.6,clay,none,biweekly,every_other_day,3,559.5,93,43,42.0,53,18,1,17,6,0.394,10,44,6,0.59,3.54
PLT_01232,squash,kalabasa,2024-09-23,78,wet,subtropical,28.8,73.4,10.4,5.8,7.1,53.2,loamy,chemical,none,twice_daily,3,529.1,82,44,42.0,46,16,1,12,8,0.531,4,59,0,,
PLT_01233,bottle_gourd,upo_round,2024-02-25,104,dry,tropical_lowland,31.2,62.4,7.8,7.5,5.9,61.9,loamy,none,none,every_other_day,3,551.4,87,53,51.0,52,16,0,13,7,0.36,6,59,0,,
PLT_01234,squash,kalabasa_hybrid,2024-02-21,97,dry,tropical_lowland,29.1,74.3,8.8,8.9,6.3,68.5,loamy,chemical,weekly,twice_daily,4,633.7,100,40,37.0,93,30,0,28,11,0.407,5,60,0,,
PLT_01235,cucumber,pipino,2025-03-13,48,dry,tropical_highland,26.9,70.2,5.3,7.2,6.3,76.5,sandy,chemical,weekly,every_other_day,3,209.3,25,37,35.0,16,8,0,8,1,0.41,8,40,0,,
PLT_01236,sponge_gourd,patola_smooth,2025-11-28,115,wet,tropical_lowland,28.4,78.6,13.0,4.1,6.7,51.9,loamy,organic,weekly,daily,5,689.2,100,37,40.0,76,30,1,26,17,0.731,8,39,17,0.7,11.9
PLT_01237,squash,kalabasa,2025-10-14,86,wet,subtropical,28.8,73.0,24.5,4.6,6.8,64.4,loamy,chemical,none,daily,4,734.7,100,43,41.0,82,24,1,20,14,0.595,3,57,0,,
PLT_01238,sponge_gourd,patola_smooth,2024-12-27,50,dry,tropical_highland,31.6,71.4,6.5,8.2,6.5,71.5,loamy,mixed,monthly,twice_daily,5,335.5,59,36,36.0,18,6,1,3,3,0.592,10,45,0,,
PLT_01239,bitter_gourd,ampalaya_bilog,2025-06-18,78,wet,tropical_lowland,30.0,89.8,26.5,6.2,6.1,76.3,sandy,mixed,weekly,twice_daily,5,486.5,81,39,40.0,76,26,0,25,14,0.509,3,48,0,,
PLT_01240,bitter_gourd,ampalaya_hybrid,2024-02-20,111,dry,tropical_highland,29.0,70.4,8.4,9.1,6.5,68.8,clay,chemical,none,twice_daily,4,713.6,100,39,39.0,118,30,0,30,18,0.595,5,46,18,0.41,7.38
PLT_01241,bitter_gourd,ampalaya_bilog,2025-07-30,59,wet,tropical_lowland,30.0,80.9,27.6,5.3,5.9,75.3,silty,chemical,monthly,every_other_day,4,260.5,45,42,45.0,37,10,0,6,3,0.456,7,45,0,,
PLT_01242,cucumber,pipino_native,2025-08-13,82,wet,subtropical,30.0,87.8,18.5,5.2,6.4,52.5,loamy,organic,none,daily,5,512.8,89,28,27.0,64,30,0,30,19,0.562,10,40,19,0.25,4.75
PLT_01243,squash,kalabasa_hybrid,2024-01-18,64,dry,subtropical,24.6,68.6,3.3,8.4,6.8,77.4,sandy,chemical,weekly,daily,4,444.1,71,46,47.0,13,5,1,4,2,0.477,4,56,0,,
PLT_01244,sponge_gourd,patola_ridged,2024-01-06,61,dry,tropical_highland,25.4,62.1,5.5,8.6,5.8,78.5,clay,chemical,none,twice_daily,4,277.6,42,39,38.0,31,15,0,12,8,0.514,4,42,0,,
PLT_01245,bottle_gourd,upo_round,2024-09-05,116,wet,tropical_highland,26.7,76.3,18.4,4.5,6.5,52.6,loamy,chemical,none,every_other_day,4,695.0,100,45,44.0,101,30,1,30,17,0.506,7,57,17,3.18,54.06
PLT_01246,bitter_gourd,ampalaya_bilog,2024-06-11,97,wet,tropical_highland,31.8,85.3,22.2,5.1,6.1,70.6,silty,chemical,monthly,every_other_day,4,598.6,100,41,44.0,91,28,0,26,9,0.352,4,43,9,0.33,2.97
PLT_01247,cucumber,pipino_japanese,2024-02-11,67,dry,subtropical,28.0,70.0,8.7,9.6,6.1,76.9,silty,chemical,monthly,twice_daily,3,260.3,42,33,35.0,15,8,0,5,2,0.444,8,36,0,,
PLT_01248,sponge_gourd,patola,2024-07-10,69,wet,tropical_lowland,29.8,83.2,24.7,6.7,6.4,55.0,loamy,organic,none,twice_daily,5,591.3,89,35,37.0,44,22,1,20,17,0.763,3,41,0,,
PLT_01249,sponge_gourd,patola,2024-04-21,47,dry,tropical_highland,31.4,69.6,8.1,9.3,6.8,63.2,sandy,mixed,monthly,every_other_day,4,226.1,43,39,41.0,23,8,1,4,2,0.542,3,44,0,,
PLT_01250,bitter_gourd,ampalaya_oblong,2025-10-16,75,wet,subtropical,30.0,76.6,27.5,4.3,5.9,56.3,sandy,chemical,biweekly,daily,3,236.1,38,42,39.0,40,11,1,9,7,0.587,8,46,0,,
PLT_01251,bottle_gourd,upo_smooth,2025-02-08,106,dry,subtropical,26.5,59.8,5.7,8.7,6.9,72.7,loamy,organic,weekly,every_other_day,4,907.6,100,48,46.0,92,30,1,26,17,0.558,3,59,0,,
PLT_01252,squash,kalabasa,2024-09-03,81,wet,subtropical,27.7,73.7,11.1,5.7,6.8,59.8,sandy,none,biweekly,daily,4,445.2,75,45,42.0,64,18,1,14,9,0.55,3,51,0,,
PLT_01253,squash,kalabasa_hybrid,2024-03-26,89,dry,tropical_lowland,33.1,72.1,1.7,8.5,6.8,73.2,silty,mixed,none,daily,4,530.7,96,44,42.0,74,25,1,25,18,0.632,3,57,0,,
PLT_01254,bitter_gourd,ampalaya_bilog,2024-08-01,100,wet,subtropical,27.8,73.3,13.0,4.9,6.6,60.8,loamy,mixed,none,daily,4,429.6,65,42,42.0,84,25,1,25,14,0.628,6,46,14,0.21,2.94
PLT_01255,cucumber,pipino_native,2024-12-07,45,dry,tropical_highland,24.7,68.4,4.6,9.5,5.9,54.3,silty,mixed,monthly,every_other_day,4,176.3,21,31,32.0,14,9,1,9,4,0.591,9,38,0,,
PLT_01256,bottle_gourd,upo_smooth,2024-12-20,97,dry,tropical_highland,32.7,68.2,5.1,7.3,6.7,54.7,loamy,mixed,weekly,daily,5,985.6,100,48,49.0,85,28,0,26,13,0.522,6,55,0,,
PLT_01257,sponge_gourd,patola,2025-05-03,50,dry,tropical_lowland,27.8,55.9,7.2,9.9,6.2,52.6,sandy,none,biweekly,daily,4,310.4,51,42,42.0,12,4,1,4,1,0.423,4,39,0,,
PLT_01258,sponge_gourd,patola_smooth,2024-10-08,34,wet,tropical_lowland,28.8,86.7,23.2,4.2,7.1,54.4,silty,organic,weekly,twice_daily,4,161.5,34,39,,0,0,1,0,0,0.656,7,45,0,,
PLT_01259,squash,kalabasa_native,2025-06-16,60,wet,subtropical,28.5,83.1,20.1,6.2,6.5,58.6,loamy,mixed,weekly,twice_daily,5,550.5,89,40,42.0,53,15,1,14,10,0.631,3,51,0,,
PLT_01260,bitter_gourd,ampalaya_hybrid,2024-04-08,54,dry,tropical_highland,26.8,61.1,6.0,7.5,5.9,70.4,sandy,none,weekly,daily,4,274.9,53,44,44.0,3,1,1,0,0,0.458,8,47,0,,
PLT_01261,bitter_gourd,ampalaya_bilog,2025-09-14,71,wet,tropical_highland,30.6,74.2,17.7,5.6,6.7,64.0,silty,chemical,none,daily,4,391.6,67,43,42.0,44,12,0,9,4,0.522,7,49,0,,
PLT_01262,cucumber,pipino_native,2024-02-23,110,dry,subtropical,32.5,73.5,0.6,8.9,6.0,65.1,sandy,none,weekly,twice_daily,3,327.4,53,37,40.0,47,28,1,28,10,0.382,6,42,10,0.23,2.3
PLT_01263,sponge_gourd,patola_ridged,2024-09-27,100,wet,tropical_highland,31.0,83.0,24.2,5.9,7.1,56.2,loamy,organic,biweekly,twice_daily,5,824.4,100,38,36.0,71,30,1,29,20,0.726,8,44,20,0.31,6.2
PLT_01264,squash,kalabasa_hybrid,2025-05-03,59,dry,subtropical,32.1,69.6,1.7,9.9,6.1,63.7,sandy,none,weekly,daily,4,405.8,63,47,46.0,21,7,1,3,0,0.462,4,60,0,,
PLT_01265,bitter_gourd,ampalaya_hybrid,2025-04-07,66,dry,tropical_highland,34.8,66.8,0.6,7.2,7.0,75.2,loamy,mixed,weekly,twice_daily,5,451.2,75,37,40.0,56,15,1,14,9,0.634,5,44,0,,
PLT_01266,squash,kalabasa_hybrid,2025-09-04,112,wet,subtropical,29.6,83.7,14.4,5.2,6.6,61.2,silty,none,monthly,every_other_day,4,1086.8,100,44,47.0,109,30,0,30,13,0.447,5,50,13,3.08,40.04
PLT_01267,squash,kalabasa_native,2025-01-09,43,dry,tropical_lowland,32.6,63.5,1.5,9.9,6.1,71.5,sandy,chemical,monthly,every_other_day,3,232.5,38,43,41.0,3,1,0,1,1,0.341,6,64,0,,
PLT_01268,bottle_gourd,upo_smooth,2024-04-20,102,dry,subtropical,24.7,72.4,1.9,7.7,6.7,64.1,clay,chemical,none,twice_daily,4,838.7,100,44,44.0,88,30,1,26,15,0.529,3,52,15,3.03,45.45
PLT_01269,cucumber,pipino_native,2024-06-07,112,wet,subtropical,29.4,72.2,17.5,4.7,6.5,75.3,loamy,none,none,daily,3,480.1,88,34,35.0,53,30,0,27,12,0.454,6,44,12,0.25,3.0
PLT_01270,sponge_gourd,patola_ridged,2024-08-13,101,wet,tropical_highland,31.9,87.6,25.0,5.6,6.4,55.5,clay,chemical,biweekly,every_other_day,4,587.3,94,41,43.0,69,24,1,22,10,0.524,8,43,10,0.62,6.2
PLT_01271,bottle_gourd,upo_round,2024-04-30,48,dry,subtropical,29.7,72.8,9.9,7.3,6.0,53.9,silty,mixed,weekly,every_other_day,3,285.6,56,50,,0,0,1,0,0,0.497,8,58,0,,
PLT_01272,bottle_gourd,upo_long,2025-11-23,78,wet,subtropical,29.2,71.8,18.2,5.6,6.4,77.0,clay,organic,none,every_other_day,5,641.7,100,46,46.0,47,20,1,16,10,0.684,3,52,0,,
PLT_01273,bitter_gourd,ampalaya_hybrid,2025-03-12,73,dry,subtropical,27.6,64.2,9.6,7.9,7.1,56.9,sandy,chemical,monthly,every_other_day,3,329.5,45,40,38.0,32,9,0,6,2,0.406,9,46,0,,
PLT_01274,squash,kalabasa_native,2024-09-03,91,wet,tropical_highland,31.4,75.9,24.6,6.3,7.1,65.0,clay,organic,weekly,daily,4,763.6,100,38,35.0,77,24,0,24,16,0.612,9,55,0,,
PLT_01275,bitter_gourd,ampalaya_oblong,2024-02-26,54,dry,tropical_highland,24.6,72.6,8.5,8.5,6.5,60.9,sandy,organic,weekly,every_other_day,5,459.2,80,40,41.0,27,10,1,6,3,0.761,4,43,0,,
PLT_01276,squash,kalabasa_hybrid,2024-02-27,107,dry,tropical_highland,33.7,70.0,7.6,9.0,6.5,54.5,clay,organic,monthly,every_other_day,4,922.8,100,40,43.0,77,28,1,26,16,0.674,10,60,16,3.11,49.76
PLT_01277,squash,kalabasa,2024-06-30,77,wet,tropical_highland,26.8,76.3,16.4,6.1,6.0,74.9,silty,none,biweekly,daily,3,496.4,89,49,49.0,25,9,1,7,1,0.463,10,55,0,,
PLT_01278,sponge_gourd,patola_smooth,2025-09-05,81,wet,tropical_lowland,28.2,85.9,24.8,6.8,5.9,50.3,sandy,organic,none,daily,3,324.2,59,37,38.0,46,18,1,18,10,0.609,8,45,0,,
PLT_01279,cucumber,pipino_native,2024-04-04,102,dry,subtropical,27.6,67.7,8.3,7.5,7.1,65.9,silty,none,weekly,daily,3,407.2,67,38,40.0,46,19,1,17,8,0.561,9,35,8,0.3,2.4
PLT_01280,sponge_gourd,patola,2025-06-30,59,wet,tropical_lowland,29.7,78.8,19.7,6.9,6.8,53.3,sandy,chemical,biweekly,twice_daily,3,230.8,40,42,41.0,11,4,1,2,1,0.472,5,50,0,,
PLT_01281,bitter_gourd,ampalaya_oblong,2025-02-14,51,dry,tropical_highland,30.1,67.5,4.8,9.5,7.0,75.5,loamy,none,weekly,daily,4,262.4,44,47,44.0,3,1,0,0,0,0.463,3,44,0,,
PLT_01282,cucumber,pipino,2024-08-12,99,wet,tropical_lowland,30.1,76.7,15.2,6.9,6.9,73.6,clay,chemical,none,twice_daily,4,522.5,89,36,38.0,63,30,0,27,11,0.451,10,40,11,0.28,3.08
PLT_01283,sponge_gourd,patola_smooth,2025-07-12,71,wet,tropical_lowland,26.7,80.8,22.2,7.0,7.2,79.0,clay,organic,biweekly,every_other_day,4,345.4,60,37,37.0,35,12,0,11,6,0.571,3,49,0,,
PLT_01284,sponge_gourd,patola,2024-10-09,62,wet,tropical_highland,27.1,84.4,22.4,4.3,6.0,53.3,sandy,none,biweekly,every_other_day,4,364.0,63,41,43.0,16,7,0,7,1,0.483,5,47,0,,
PLT_01285,squash,kalabasa,2025-05-26,111,dry,tropical_lowland,31.5,65.3,4.6,8.2,7.0,59.9,sandy,organic,weekly,daily,5,943.3,100,38,40.0,107,30,1,30,24,0.725,5,53,24,2.7,64.8
PLT_01286,sponge_gourd,patola_ridged,2024-07-17,92,wet,tropical_lowland,30.9,89.3,19.2,6.5,6.8,79.0,silty,chemical,monthly,every_other_day,3,280.5,56,41,44.0,47,21,0,20,7,0.409,6,48,7,0.55,3.85
PLT_01287,bottle_gourd,upo_round,2025-06-11,59,wet,tropical_highland,31.1,87.2,22.3,6.8,6.5,76.7,clay,none,weekly,twice_daily,3,383.5,64,51,53.0,17,7,1,3,2,0.3,9,60,0,,
PLT_01288,cucumber,pipino_japanese,2024-05-01,81,dry,tropical_lowland,24.6,66.1,2.9,7.4,6.9,56.5,loamy,none,none,daily,3,289.2,44,36,36.0,43,20,1,17,4,0.328,8,37,4,0.37,1.48
PLT_01289,bottle_gourd,upo_smooth,2025-07-07,74,wet,tropical_lowland,30.7,82.5,16.8,6.1,7.0,67.8,sandy,chemical,biweekly,every_other_day,4,539.2,95,48,51.0,32,14,1,10,6,0.466,8,57,0,,
PLT_01290,squash,kalabasa_native,2024-12-09,49,dry,subtropical,33.0,64.5,1.9,7.3,6.8,76.6,loamy,mixed,none,every_other_day,4,474.0,81,41,39.0,8,2,1,0,0,0.676,4,52,0,,
PLT_01291,squash,kalabasa_native,2024-12-01,85,dry,tropical_lowland,32.5,69.7,9.7,7.3,6.6,70.8,silty,organic,monthly,daily,4,778.1,100,42,39.0,69,24,0,24,9,0.463,5,57,0,,
PLT_01292,bitter_gourd,ampalaya_hybrid,2024-12-04,67,dry,subtropical,34.6,60.0,0.7,8.5,5.9,57.9,sandy,none,monthly,every_other_day,4,289.3,46,45,42.0,35,9,0,9,3,0.333,4,44,0,,
PLT_01293,sponge_gourd,patola_smooth,2024-10-17,75,wet,tropical_highland,31.4,83.5,22.4,6.1,7.0,76.3,silty,organic,none,daily,5,575.8,99,36,36.0,53,21,0,21,13,0.581,10,46,0,,
PLT_01294,squash,kalabasa_hybrid,2024-07-19,78,wet,subtropical,27.5,88.8,29.1,6.6,6.6,69.4,sandy,organic,none,twice_daily,4,635.7,100,42,43.0,56,14,1,10,6,0.509,10,53,0,,
